;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_mlpregressor__solver;param_mlpregressor__max_iter;param_mlpregressor__learning_rate;param_mlpregressor__hidden_layer_sizes;param_mlpregressor__alpha;param_mlpregressor__activation;params;split0_test_neg_root_mean_squared_error;split1_test_neg_root_mean_squared_error;split2_test_neg_root_mean_squared_error;split3_test_neg_root_mean_squared_error;split4_test_neg_root_mean_squared_error;mean_test_neg_root_mean_squared_error;std_test_neg_root_mean_squared_error;rank_test_neg_root_mean_squared_error;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2
19;5.753548765;1.108488739;0.002718973;0.001540123;adam;20000;constant;(20, 15, 10, 1);0.0002;relu;{'mlpregressor__solver': 'adam', 'mlpregressor__max_iter': 20000, 'mlpregressor__learning_rate': 'constant', 'mlpregressor__hidden_layer_sizes': (20, 15, 10, 1), 'mlpregressor__alpha': 0.0002, 'mlpregressor__activation': 'relu'};-246.1512433;-238.7066814;-335.4534918;-269.8676065;-338.6046291;-285.7567304;43.12176819;1;0.851114499;0.787770121;0.432943095;0.708844633;0.625864215;0.681307313;0.145386269;1
0;0.091941786;0.006439338;0.00419383;0.001470584;lbfgs;10000;invscaling;(15, 10, 10, 1);0.0002;identity;{'mlpregressor__solver': 'lbfgs', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'invscaling', 'mlpregressor__hidden_layer_sizes': (15, 10, 10, 1), 'mlpregressor__alpha': 0.0002, 'mlpregressor__activation': 'identity'};-333.2554885;-278.6999613;-322.4821568;-296.2683174;-391.4676521;-324.4347152;38.62653708;3;0.727100361;0.710698162;0.475949199;0.649091646;0.499924902;0.612552854;0.105294188;2
36;0.115702677;0.011061711;0.003398895;0.000481852;lbfgs;10000;constant;(20, 15, 10, 10, 5);0.0004;identity;{'mlpregressor__solver': 'lbfgs', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'constant', 'mlpregressor__hidden_layer_sizes': (20, 15, 10, 10, 5), 'mlpregressor__alpha': 0.0004, 'mlpregressor__activation': 'identity'};-333.2564385;-278.6925511;-322.4927714;-296.2658436;-391.4699361;-324.4355081;38.62938178;4;0.727098805;0.710713546;0.4759147;0.649097506;0.499919067;0.612548725;0.105307324;3
22;0.122525787;0.008947717;0.004000044;6.68E-07;lbfgs;10000;adaptive;(20, 15, 10, 5, 1);0.0001;identity;{'mlpregressor__solver': 'lbfgs', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'adaptive', 'mlpregressor__hidden_layer_sizes': (20, 15, 10, 5, 1), 'mlpregressor__alpha': 0.0001, 'mlpregressor__activation': 'identity'};-333.2564626;-278.6973721;-322.4942446;-296.2716668;-391.4673773;-324.4374247;38.62648897;5;0.727098765;0.710703537;0.475909912;0.649083711;0.499925604;0.612544306;0.105304337;4
25;0.256068659;0.043042092;0.001614571;0.003229141;lbfgs;20000;constant;(30, 20, 10, 1);0.0002;identity;{'mlpregressor__solver': 'lbfgs', 'mlpregressor__max_iter': 20000, 'mlpregressor__learning_rate': 'constant', 'mlpregressor__hidden_layer_sizes': (30, 20, 10, 1), 'mlpregressor__alpha': 0.0002, 'mlpregressor__activation': 'identity'};-333.2421202;-279.0025244;-322.48307;-296.2742163;-391.4558645;-324.4915591;38.54943646;6;0.727122255;0.710069675;0.475946231;0.649077672;0.499955017;0.61243417;0.105175389;5
38;0.74051404;0.055828269;0.003989267;6.29E-07;adam;20000;adaptive;(20, 15, 10, 1);0.0001;identity;{'mlpregressor__solver': 'adam', 'mlpregressor__max_iter': 20000, 'mlpregressor__learning_rate': 'adaptive', 'mlpregressor__hidden_layer_sizes': (20, 15, 10, 1), 'mlpregressor__alpha': 0.0001, 'mlpregressor__activation': 'identity'};-329.0654081;-275.8707088;-323.5576558;-297.2592835;-395.8447623;-324.3195637;40.54258965;2;0.733919651;0.716542105;0.472447883;0.646740265;0.488679421;0.611665865;0.111069833;6
26;0.844445944;0.09720831;0.003464937;0.003637555;adam;20000;invscaling;(15, 15, 10);0.0003;identity;{'mlpregressor__solver': 'adam', 'mlpregressor__max_iter': 20000, 'mlpregressor__learning_rate': 'invscaling', 'mlpregressor__hidden_layer_sizes': (15, 15, 10), 'mlpregressor__alpha': 0.0003, 'mlpregressor__activation': 'identity'};-330.9441616;-280.1121845;-322.4790262;-298.1636124;-392.8771155;-324.91522;38.4293193;7;0.730872679;0.707758844;0.475959374;0.644587606;0.496317419;0.611099184;0.106064015;7
5;0.726895285;0.013966533;0.003894901;0.000194162;adam;10000;adaptive;(20, 15, 10);0.0002;identity;{'mlpregressor__solver': 'adam', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'adaptive', 'mlpregressor__hidden_layer_sizes': (20, 15, 10), 'mlpregressor__alpha': 0.0002, 'mlpregressor__activation': 'identity'};-334.3609031;-280.4041648;-322.1632437;-298.106077;-393.596999;-325.7262775;38.75733784;8;0.725286932;0.70714928;0.476985189;0.644724757;0.494469895;0.609723211;0.104856693;8
34;0.708681631;0.040834902;0.003790188;0.000746493;adam;10000;adaptive;(20, 15, 10);0.0001;identity;{'mlpregressor__solver': 'adam', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'adaptive', 'mlpregressor__hidden_layer_sizes': (20, 15, 10), 'mlpregressor__alpha': 0.0001, 'mlpregressor__activation': 'identity'};-334.3609031;-280.4041648;-322.1632437;-298.106077;-393.596999;-325.7262775;38.75733785;9;0.725286932;0.70714928;0.476985189;0.644724757;0.494469895;0.609723211;0.104856693;9
20;1.114500332;1.570305108;0.004008818;2.71E-05;lbfgs;10000;invscaling;(20, 15, 10);0.0003;logistic;{'mlpregressor__solver': 'lbfgs', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'invscaling', 'mlpregressor__hidden_layer_sizes': (20, 15, 10), 'mlpregressor__alpha': 0.0003, 'mlpregressor__activation': 'logistic'};-459.6763705;-350.1131724;-308.525806;-387.2573391;-416.6175426;-384.4380461;52.24009766;10;0.480778462;0.543443765;0.520327302;0.400453876;0.433606093;0.4757219;0.052991468;10
23;4.439357233;5.264112429;0.002307653;0.003039887;lbfgs;10000;invscaling;(20, 15, 5);0.0002;tanh;{'mlpregressor__solver': 'lbfgs', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'invscaling', 'mlpregressor__hidden_layer_sizes': (20, 15, 5), 'mlpregressor__alpha': 0.0002, 'mlpregressor__activation': 'tanh'};-511.5640875;-353.247663;-454.3540446;-372.7591788;-545.1557501;-447.4161448;75.04330615;11;0.356944529;0.535232265;-0.040281334;0.444505225;0.030194459;0.265319029;0.228924103;11
8;11.28898678;5.011069916;0.004513073;0.00118731;lbfgs;10000;invscaling;(15, 15, 10);0.0001;relu;{'mlpregressor__solver': 'lbfgs', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'invscaling', 'mlpregressor__hidden_layer_sizes': (15, 15, 10), 'mlpregressor__alpha': 0.0001, 'mlpregressor__activation': 'relu'};-632.4940619;-346.9053166;-446.212887;-377.0485629;-482.8877887;-457.1097234;100.0976689;12;0.016982509;0.551771685;-0.003335612;0.431647381;0.239085408;0.247230274;0.220281082;12
10;28.31587505;0.323000307;0.005598259;0.005427765;adam;10000;constant;(20, 20, 15);0.0001;tanh;{'mlpregressor__solver': 'adam', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'constant', 'mlpregressor__hidden_layer_sizes': (20, 20, 15), 'mlpregressor__alpha': 0.0001, 'mlpregressor__activation': 'tanh'};-611.8497997;-472.3505164;-395.1749839;-460.2697713;-523.4225414;-492.6135225;72.27373231;13;0.08010558;0.168990162;0.213061311;0.153068683;0.105977786;0.144240704;0.046912919;13
28;5.74872179;7.898145661;0.00221467;0.001592759;lbfgs;20000;adaptive;(20, 15, 5, 1);0.0002;tanh;{'mlpregressor__solver': 'lbfgs', 'mlpregressor__max_iter': 20000, 'mlpregressor__learning_rate': 'adaptive', 'mlpregressor__hidden_layer_sizes': (20, 15, 5, 1), 'mlpregressor__alpha': 0.0002, 'mlpregressor__activation': 'tanh'};-624.4913793;-493.1121479;-435.9941863;-479.2645695;-490.1120027;-504.5948572;63.34738704;16;0.041700558;0.094332508;0.04209287;0.081722519;0.216147869;0.095199265;0.06402084;14
17;3.291997004;6.538061147;0.003932762;0.004083701;lbfgs;10000;invscaling;(20, 15, 10);0.0003;tanh;{'mlpregressor__solver': 'lbfgs', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'invscaling', 'mlpregressor__hidden_layer_sizes': (20, 15, 10), 'mlpregressor__alpha': 0.0003, 'mlpregressor__activation': 'tanh'};-500.2339832;-518.5663117;-447.5210259;-500.2555126;-553.622097;-504.0397861;34.32958089;14;0.385113831;-0.001580766;-0.009227087;-0.000476869;-0.000161882;0.074733446;0.155225716;15
14;2.913751888;5.781406919;0.003998232;1.61E-06;lbfgs;10000;invscaling;(20, 15, 10);0.0001;tanh;{'mlpregressor__solver': 'lbfgs', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'invscaling', 'mlpregressor__hidden_layer_sizes': (20, 15, 10), 'mlpregressor__alpha': 0.0001, 'mlpregressor__activation': 'tanh'};-500.2927575;-518.5663131;-447.5210292;-500.2555133;-553.6220965;-504.0515419;34.32828464;15;0.384969332;-0.001580771;-0.009227102;-0.000476872;-0.00016188;0.074704541;0.155167932;16
3;0.36777854;0.302972597;0.003113604;0.000814606;sgd;10000;constant;(20, 15, 5, 1);0.0002;tanh;{'mlpregressor__solver': 'sgd', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'constant', 'mlpregressor__hidden_layer_sizes': (20, 15, 5, 1), 'mlpregressor__alpha': 0.0002, 'mlpregressor__activation': 'tanh'};-732.0910206;-516.9184307;-407.9495925;-500.1858881;-448.3183627;-521.0926589;112.3140931;17;-0.31697794;0.004774693;0.161361074;-0.0001984;0.34413188;0.038618262;0.217947309;17
31;12.09401293;4.16197731;0.005195618;0.001943492;sgd;10000;invscaling;(20, 15, 5);0.0001;tanh;{'mlpregressor__solver': 'sgd', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'invscaling', 'mlpregressor__hidden_layer_sizes': (20, 15, 5), 'mlpregressor__alpha': 0.0001, 'mlpregressor__activation': 'tanh'};-658.623853;-506.0414209;-413.7514647;-529.0195945;-538.0278879;-529.0928442;78.34937723;18;-0.065916661;0.046217149;0.137337146;-0.118836955;0.055388907;0.010837917;0.091591892;18
15;0.171788168;0.037497535;0.004000282;5.56E-07;sgd;10000;constant;(20, 15, 5);0.0002;logistic;{'mlpregressor__solver': 'sgd', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'constant', 'mlpregressor__hidden_layer_sizes': (20, 15, 5), 'mlpregressor__alpha': 0.0002, 'mlpregressor__activation': 'logistic'};-640.2760504;-518.6073332;-447.7236063;-500.3646578;-553.5797737;-532.1102843;63.98749541;19;-0.007355715;-0.001739233;-0.010140993;-0.000913482;-8.97E-06;-0.004031678;0.003988323;19
27;0.047393799;0.004638959;0.004129887;0.00506015;lbfgs;10000;adaptive;(30, 20, 10, 1);0.0003;logistic;{'mlpregressor__solver': 'lbfgs', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'adaptive', 'mlpregressor__hidden_layer_sizes': (30, 20, 10, 1), 'mlpregressor__alpha': 0.0003, 'mlpregressor__activation': 'logistic'};-641.4253382;-518.5663117;-447.5210257;-500.2555125;-553.622097;-532.278057;64.4451809;20;-0.010975343;-0.001580766;-0.009227086;-0.000476868;-0.000161882;-0.004484389;0.004643296;20
37;0.060540819;0.004693217;0.003390217;0.000797975;lbfgs;10000;constant;(20, 15, 10, 10, 5);0.0004;tanh;{'mlpregressor__solver': 'lbfgs', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'constant', 'mlpregressor__hidden_layer_sizes': (20, 15, 10, 10, 5), 'mlpregressor__alpha': 0.0004, 'mlpregressor__activation': 'tanh'};-641.4259628;-518.5662532;-447.5208656;-500.2553877;-553.6221906;-532.278132;64.44545566;21;-0.010977312;-0.00158054;-0.009226365;-0.000476369;-0.00016222;-0.004484561;0.004643751;21
13;64.47931933;1.633493172;0.003998852;3.32E-06;sgd;20000;invscaling;(20, 10, 5);0.0003;logistic;{'mlpregressor__solver': 'sgd', 'mlpregressor__max_iter': 20000, 'mlpregressor__learning_rate': 'invscaling', 'mlpregressor__hidden_layer_sizes': (20, 10, 5), 'mlpregressor__alpha': 0.0003, 'mlpregressor__activation': 'logistic'};-646.8050318;-518.5702294;-445.4678783;-501.0466495;-555.6512718;-533.5082121;66.86476083;22;-0.028004746;-0.0015959;1.20E-05;-0.00364381;-0.007507046;-0.008147904;0.010242112;22
1;0.127708292;0.028055608;0.00461812;0.001022226;sgd;10000;constant;(20, 15, 10, 10, 5);0.0004;tanh;{'mlpregressor__solver': 'sgd', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'constant', 'mlpregressor__hidden_layer_sizes': (20, 15, 10, 10, 5), 'mlpregressor__alpha': 0.0004, 'mlpregressor__activation': 'tanh'};-640.7741915;-518.5959781;-447.4878601;-500.2681037;-569.1402152;-535.2532697;65.55483863;23;-0.00892379;-0.001695367;-0.009077505;-0.000527232;-0.057017102;-0.015448199;0.02108508;23
33;39.83604593;1.023838582;0.00379138;0.000399495;sgd;10000;invscaling;(20, 15, 10, 1);0.0002;logistic;{'mlpregressor__solver': 'sgd', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'invscaling', 'mlpregressor__hidden_layer_sizes': (20, 15, 10, 1), 'mlpregressor__alpha': 0.0002, 'mlpregressor__activation': 'logistic'};-715.0959754;-573.3226401;-499.3451127;-560.9363788;-616.0057156;-592.9411645;71.58657006;25;-0.256541995;-0.224265358;-0.256503251;-0.257912692;-0.238263154;-0.24669729;0.013365527;24
18;56.06682777;0.771447833;0.005843735;0.003659522;sgd;10000;invscaling;(20, 20, 15, 10, 1);0.0004;logistic;{'mlpregressor__solver': 'sgd', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'invscaling', 'mlpregressor__hidden_layer_sizes': (20, 20, 15, 10, 1), 'mlpregressor__alpha': 0.0004, 'mlpregressor__activation': 'logistic'};-715.5632512;-573.5274865;-499.661102;-561.2457493;-616.3650719;-593.2725322;71.64770317;26;-0.258184693;-0.225140366;-0.258094003;-0.259300615;-0.239708295;-0.248085594;0.013598525;25
12;11.436796;1.493899191;0.004095697;0.000203587;lbfgs;10000;invscaling;(20, 15, 10);0.0004;relu;{'mlpregressor__solver': 'lbfgs', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'invscaling', 'mlpregressor__hidden_layer_sizes': (20, 15, 10), 'mlpregressor__alpha': 0.0004, 'mlpregressor__activation': 'relu'};-573.5760114;-512.8191535;-366.0826893;-553.5044949;-885.3275637;-578.2619826;169.8393235;24;0.191592565;0.020496818;0.324663231;-0.224801163;-1.557710805;-0.249151871;0.679580648;26
2;40.63305922;0.244532132;0.004189157;0.000399161;sgd;10000;invscaling;(20, 15, 15, 1);0.0003;logistic;{'mlpregressor__solver': 'sgd', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'invscaling', 'mlpregressor__hidden_layer_sizes': (20, 15, 15, 1), 'mlpregressor__alpha': 0.0003, 'mlpregressor__activation': 'logistic'};-715.8587201;-573.749;-499.9633515;-561.7229597;-616.4571626;-593.5502388;71.62075395;27;-0.259223962;-0.226086921;-0.259616528;-0.261443016;-0.24007877;-0.249289839;0.013973162;27
11;26.10569611;0.20356682;0.005300236;0.00166194;sgd;10000;invscaling;(20, 15, 5, 1);0.0004;tanh;{'mlpregressor__solver': 'sgd', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'invscaling', 'mlpregressor__hidden_layer_sizes': (20, 15, 5, 1), 'mlpregressor__alpha': 0.0004, 'mlpregressor__activation': 'tanh'};-715.5498889;-574.7043681;-499.0730026;-562.3310342;-617.149673;-593.7615933;71.68874153;28;-0.258137703;-0.230173515;-0.255134201;-0.264175561;-0.242866474;-0.250097491;0.012144612;28
32;75.0149075;0.537923379;0.005290604;0.001394948;adam;20000;invscaling;(15, 10, 10, 1);0.0001;logistic;{'mlpregressor__solver': 'adam', 'mlpregressor__max_iter': 20000, 'mlpregressor__learning_rate': 'invscaling', 'mlpregressor__hidden_layer_sizes': (15, 10, 10, 1), 'mlpregressor__alpha': 0.0001, 'mlpregressor__activation': 'logistic'};-763.4284004;-625.0070717;-555.4294412;-614.6304952;-666.7454248;-645.0481667;69.05511846;29;-0.432138317;-0.45494722;-0.554604075;-0.510259215;-0.450653049;-0.480520375;0.045298257;29
9;70.30152621;0.248712906;0.004792547;0.001602864;adam;20000;constant;(20, 15, 10, 5, 1);0.0001;tanh;{'mlpregressor__solver': 'adam', 'mlpregressor__max_iter': 20000, 'mlpregressor__learning_rate': 'constant', 'mlpregressor__hidden_layer_sizes': (20, 15, 10, 5, 1), 'mlpregressor__alpha': 0.0001, 'mlpregressor__activation': 'tanh'};-763.6453688;-625.2354949;-555.672129;-614.8588433;-666.9631825;-645.2750037;69.04682517;30;-0.432952468;-0.456010902;-0.555962901;-0.511381609;-0.451600764;-0.481581729;0.045471138;30
4;71.19571509;5.172806698;0.005020952;0.002993632;adam;20000;adaptive;(20, 15, 10, 5, 1);0.0002;tanh;{'mlpregressor__solver': 'adam', 'mlpregressor__max_iter': 20000, 'mlpregressor__learning_rate': 'adaptive', 'mlpregressor__hidden_layer_sizes': (20, 15, 10, 5, 1), 'mlpregressor__alpha': 0.0002, 'mlpregressor__activation': 'tanh'};-763.6453689;-625.235495;-555.6721291;-614.8588434;-666.9631826;-645.2750038;69.04682516;31;-0.432952468;-0.456010902;-0.555962902;-0.51138161;-0.451600765;-0.481581729;0.045471138;31
21;18.55637808;0.889883952;0;0;sgd;10000;constant;(20, 15, 5);0.0004;identity;{'mlpregressor__solver': 'sgd', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'constant', 'mlpregressor__hidden_layer_sizes': (20, 15, 5), 'mlpregressor__alpha': 0.0004, 'mlpregressor__activation': 'identity'};;;;;;;;32;;;;;;;;32
16;21.89426746;2.195639518;0;0;sgd;10000;constant;(15, 15, 10, 1);0.0002;identity;{'mlpregressor__solver': 'sgd', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'constant', 'mlpregressor__hidden_layer_sizes': (15, 15, 10, 1), 'mlpregressor__alpha': 0.0002, 'mlpregressor__activation': 'identity'};;;;;;;;32;;;;;;;;32
29;40.00742955;1.144942568;0;0;sgd;20000;constant;(20, 10, 5);0.0003;identity;{'mlpregressor__solver': 'sgd', 'mlpregressor__max_iter': 20000, 'mlpregressor__learning_rate': 'constant', 'mlpregressor__hidden_layer_sizes': (20, 10, 5), 'mlpregressor__alpha': 0.0003, 'mlpregressor__activation': 'identity'};;;;;;;;32;;;;;;;;32
30;53.66738262;0.951888476;0;0;sgd;20000;constant;(30, 20, 10, 1);0.0002;identity;{'mlpregressor__solver': 'sgd', 'mlpregressor__max_iter': 20000, 'mlpregressor__learning_rate': 'constant', 'mlpregressor__hidden_layer_sizes': (30, 20, 10, 1), 'mlpregressor__alpha': 0.0002, 'mlpregressor__activation': 'identity'};;;;;;;;32;;;;;;;;32
7;46.01342673;5.459966228;0;0;sgd;20000;adaptive;(15, 15, 10, 1);0.0004;identity;{'mlpregressor__solver': 'sgd', 'mlpregressor__max_iter': 20000, 'mlpregressor__learning_rate': 'adaptive', 'mlpregressor__hidden_layer_sizes': (15, 15, 10, 1), 'mlpregressor__alpha': 0.0004, 'mlpregressor__activation': 'identity'};;;;;;;;32;;;;;;;;32
35;11.13704391;13.59408044;0.002194023;0.001827991;sgd;10000;constant;(20, 15, 10, 10, 5);0.0004;relu;{'mlpregressor__solver': 'sgd', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'constant', 'mlpregressor__hidden_layer_sizes': (20, 15, 10, 10, 5), 'mlpregressor__alpha': 0.0004, 'mlpregressor__activation': 'relu'};;-2.82E+42;;-3.64E+24;-1.77E+65;;;32;;-2.97E+79;;-5.28E+43;-1.02E+125;;;32
6;16.26094398;19.88893475;0.002593231;0.002148416;sgd;20000;invscaling;(15, 15, 10);0.0003;relu;{'mlpregressor__solver': 'sgd', 'mlpregressor__max_iter': 20000, 'mlpregressor__learning_rate': 'invscaling', 'mlpregressor__hidden_layer_sizes': (15, 15, 10), 'mlpregressor__alpha': 0.0003, 'mlpregressor__activation': 'relu'};;-681.143911;;-7.80E+129;-2.25E+22;;;32;;-0.728045342;;-2.43E+254;-1.65E+39;;;32
24;19.84717894;9.849795464;0.00362649;0.007252979;sgd;10000;adaptive;(20, 20, 15);0.0003;relu;{'mlpregressor__solver': 'sgd', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'adaptive', 'mlpregressor__hidden_layer_sizes': (20, 20, 15), 'mlpregressor__alpha': 0.0003, 'mlpregressor__activation': 'relu'};;;;-7.45E+147;;;;32;;;;-2.22E+290;;;;32
39;19.22350268;2.092485215;0;0;sgd;10000;adaptive;(20, 15, 5, 1);0.0004;identity;{'mlpregressor__solver': 'sgd', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'adaptive', 'mlpregressor__hidden_layer_sizes': (20, 15, 5, 1), 'mlpregressor__alpha': 0.0004, 'mlpregressor__activation': 'identity'};;;;;;;;32;;;;;;;;32
